Timestamp,transaction-fees-usd
2021-06-06 00:00:00,812485.561027935
2021-06-07 00:00:00,1266620.5811851544
2021-06-08 00:00:00,1156939.76257696
2021-06-09 00:00:00,1210337.2286366103
2021-06-10 00:00:00,1715939.0850784644
2021-06-11 00:00:00,1505578.8821680094
2021-06-12 00:00:00,1278937.849496455
2021-06-13 00:00:00,849824.279575072
2021-06-14 00:00:00,1524262.6327825463
2021-06-15 00:00:00,1557577.83556363
2021-06-16 00:00:00,1538879.3000574247
2021-06-17 00:00:00,1210119.7037208944
2021-06-18 00:00:00,1142644.84491354
2021-06-19 00:00:00,880657.4080873234
2021-06-20 00:00:00,794364.5851247732
2021-06-21 00:00:00,1325747.4307627026
2021-06-22 00:00:00,1529601.8295875858
2021-06-23 00:00:00,1921499.6998474358
2021-06-24 00:00:00,1624791.7610860553
2021-06-25 00:00:00,1467294.4885132674
2021-06-26 00:00:00,926377.4862813442
2021-06-27 00:00:00,894563.6187211958
2021-06-28 00:00:00,1819158.7098277253
2021-06-29 00:00:00,1895790.0716161353
2021-06-30 00:00:00,2176609.7601236287
2021-07-01 00:00:00,2444115.2429898167
2021-07-02 00:00:00,2064573.7223746127
2021-07-03 00:00:00,2028058.1386466548
2021-07-04 00:00:00,1533082.3198251345
2021-07-05 00:00:00,1618457.3412438722
2021-07-06 00:00:00,1608397.4381320153
2021-07-07 00:00:00,1309346.4201905783
2021-07-08 00:00:00,966730.0958412429
2021-07-09 00:00:00,891745.7720978879
2021-07-10 00:00:00,646919.5939725555
2021-07-11 00:00:00,634137.4887759703
2021-07-12 00:00:00,975257.973337679
2021-07-13 00:00:00,1039050.6574440622
2021-07-14 00:00:00,815940.8357754195
2021-07-15 00:00:00,726170.955563693
2021-07-16 00:00:00,549046.4443972324
2021-07-17 00:00:00,398117.9175862612
2021-07-18 00:00:00,382734.74101993314
2021-07-19 00:00:00,590435.3666245714
2021-07-20 00:00:00,541599.9859052661
2021-07-21 00:00:00,451686.5339324978
2021-07-22 00:00:00,462651.58224141743
2021-07-23 00:00:00,626145.7922654526
2021-07-24 00:00:00,434318.1405187592
2021-07-25 00:00:00,334180.79404612485
2021-07-26 00:00:00,700527.0059988148
2021-07-27 00:00:00,605648.3806176905
2021-07-28 00:00:00,619650.4724596755
2021-07-29 00:00:00,602440.4757681953
2021-07-30 00:00:00,576905.9281111764
2021-07-31 00:00:00,467510.799921637
2021-08-01 00:00:00,402959.18126019154
2021-08-02 00:00:00,533678.3025228591
2021-08-03 00:00:00,492729.87890437024
2021-08-04 00:00:00,586176.42127036
2021-08-05 00:00:00,585774.341207098
2021-08-06 00:00:00,589380.3074954066
2021-08-07 00:00:00,451868.6970920752
2021-08-08 00:00:00,436279.8171292448
2021-08-09 00:00:00,610190.9085103582
2021-08-10 00:00:00,643651.1920907345
2021-08-11 00:00:00,611796.6325731914
2021-08-12 00:00:00,575801.78342867
2021-08-13 00:00:00,1087292.3553841454
2021-08-14 00:00:00,512896.285024436
2021-08-15 00:00:00,451047.5714292612
2021-08-16 00:00:00,764623.3042931516
2021-08-17 00:00:00,722533.1951044699
2021-08-18 00:00:00,696294.749213735
2021-08-19 00:00:00,583976.3727932619
2021-08-20 00:00:00,753800.8117346275
2021-08-21 00:00:00,560978.406618123
2021-08-22 00:00:00,567704.2170355871
2021-08-23 00:00:00,724341.615285643
2021-08-24 00:00:00,736449.8968082938
2021-08-25 00:00:00,619543.254227655
2021-08-26 00:00:00,553301.4691781066
2021-08-27 00:00:00,569378.3269082
2021-08-28 00:00:00,523564.6993283303
2021-08-29 00:00:00,428835.1490642131
2021-08-30 00:00:00,603044.8225856082
2021-08-31 00:00:00,650089.1504215797
2021-09-01 00:00:00,847285.3785490517
2021-09-02 00:00:00,992845.1381012617
2021-09-03 00:00:00,922068.6088154034
2021-09-04 00:00:00,600833.0571980047
2021-09-05 00:00:00,528277.0167002352
2021-09-06 00:00:00,897828.4224801812
2021-09-07 00:00:00,1012393.2442165067
2021-09-08 00:00:00,680689.8457502944
2021-09-09 00:00:00,655889.1869755357
2021-09-10 00:00:00,647406.7059638859
2021-09-11 00:00:00,491640.79201682215
2021-09-12 00:00:00,399167.7181541049
2021-09-13 00:00:00,684460.9594317911
2021-09-14 00:00:00,689971.4868344534
2021-09-15 00:00:00,812826.5218986467
2021-09-16 00:00:00,802737.9729330437
2021-09-17 00:00:00,719183.3582763366
2021-09-18 00:00:00,560600.5965040771
2021-09-19 00:00:00,393391.65004513063
2021-09-20 00:00:00,616446.9819186883
2021-09-21 00:00:00,627241.1811767757
2021-09-22 00:00:00,594535.6534432083
2021-09-23 00:00:00,607336.9066005489
2021-09-24 00:00:00,693234.6850823488
2021-09-25 00:00:00,364042.7042524049
2021-09-26 00:00:00,362745.7090269653
2021-09-27 00:00:00,552078.706935914
2021-09-28 00:00:00,571108.558668003
2021-09-29 00:00:00,472236.7979670709
2021-09-30 00:00:00,638083.9978280262
2021-10-01 00:00:00,755216.7360033639
2021-10-02 00:00:00,522838.44019357866
2021-10-03 00:00:00,480293.799514592
2021-10-04 00:00:00,660229.1505330522
2021-10-05 00:00:00,766280.3773332164
2021-10-06 00:00:00,961095.269037191
2021-10-07 00:00:00,1465935.5181733763
2021-10-08 00:00:00,1126447.8160073743
2021-10-09 00:00:00,804229.6442341652
2021-10-10 00:00:00,703621.2524282538
2021-10-11 00:00:00,1178728.4231323951
2021-10-12 00:00:00,1080831.0958769154
2021-10-13 00:00:00,941607.2368537664
2021-10-14 00:00:00,967257.8099765149
2021-10-15 00:00:00,1232979.4923815802
