Timestamp,total-bitcoins
2019-09-18 01:43:24,17942162.5
2019-09-18 17:00:32,17943487.5
2019-09-19 08:59:07,17944825
2019-09-20 02:24:58,17946162.5
2019-09-20 18:34:14,17947487.5
2019-09-21 09:47:45,17948812.5
2019-09-22 01:59:26,17950150
2019-09-22 18:23:37,17951475
2019-09-23 13:46:21,17952800
2019-09-24 09:40:57,17954150
2019-09-25 01:31:01,17955487.5
2019-09-25 17:26:05,17956825
2019-09-26 08:07:58,17958162.5
2019-09-26 23:46:08,17959500
2019-09-27 19:25:26,17960837.5
2019-09-28 12:06:11,17962162.5
2019-09-29 04:58:04,17963487.5
2019-09-29 23:46:05,17964837.5
2019-09-30 19:54:45,17966162.5
2019-10-01 13:47:14,17967487.5
2019-10-02 06:31:54,17968825
2019-10-03 00:24:32,17970162.5
2019-10-03 18:14:01,17971487.5
2019-10-04 12:25:48,17972812.5
2019-10-05 04:19:59,17974137.5
2019-10-05 20:26:56,17975475
2019-10-06 14:24:12,17976800
2019-10-07 06:59:00,17978150
2019-10-07 23:18:51,17979475
2019-10-08 14:36:48,17980812.5
2019-10-09 06:36:24,17982137.5
2019-10-10 03:08:42,17983462.5
2019-10-10 18:17:44,17984800
2019-10-11 08:39:14,17986125
2019-10-12 02:15:17,17987475
2019-10-12 21:20:56,17988800
2019-10-13 13:10:15,17990125
2019-10-14 10:10:48,17991475
2019-10-15 04:35:22,17992812.5
2019-10-15 21:18:37,17994150
2019-10-16 16:53:56,17995475
2019-10-17 08:15:46,17996812.5
2019-10-18 01:44:47,17998162.5
2019-10-18 17:41:02,17999487.5
2019-10-19 12:06:59,18000825
2019-10-20 06:08:04,18002162.5
2019-10-20 22:27:41,18003500
2019-10-21 15:42:59,18004837.5
2019-10-22 06:01:10,18006162.5
2019-10-22 22:14:42,18007487.5
2019-10-23 14:14:42,18008837.5
2019-10-24 05:01:20,18010162.5
2019-10-25 00:35:37,18011487.5
2019-10-25 19:17:54,18012812.5
2019-10-26 12:42:23,18014137.5
2019-10-27 10:16:59,18015462.5
2019-10-28 06:19:39,18016787.5
2019-10-29 01:36:24,18018112.5
2019-10-29 20:04:29,18019437.5
2019-10-30 14:50:08,18020775
2019-10-31 09:08:29,18022100
2019-11-01 06:24:18,18023425
2019-11-02 01:39:15,18024762.5
2019-11-02 18:37:55,18026087.5
2019-11-03 14:56:03,18027437.5
2019-11-04 09:48:08,18028775
2019-11-05 06:24:48,18030100
2019-11-05 22:12:11,18031437.5
2019-11-06 17:59:25,18032762.5
2019-11-07 11:41:46,18034087.5
2019-11-08 07:47:43,18035412.5
2019-11-09 03:14:22,18036737.5
2019-11-09 20:47:42,18038062.5
2019-11-10 13:20:45,18039400
2019-11-11 04:24:06,18040725
2019-11-11 20:59:44,18042050
2019-11-12 12:51:30,18043375
2019-11-13 11:25:50,18044700
2019-11-14 03:08:13,18046025
